"""dt",dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,"weather_icon"""
"""1356998400",2013-01-01 00:00:00 +0000 UTC,5128581,,,,272.03,270.37,273.15,1019,,,0,13,310,,,,,,,,,20,801,Clouds,few clouds,"02n"""
"""1357002000",2013-01-01 01:00:00 +0000 UTC,5128581,,,,271.46,270.37,272.15,1020,,,54,11,310,,,,,,,,,20,801,Clouds,few clouds,"02n"""
"""1357005600",2013-01-01 02:00:00 +0000 UTC,5128581,,,,271.19,269.82,272.15,1021,,,54,8,330,,,,,,,,,20,801,Clouds,few clouds,"02n"""
"""1357009200",2013-01-01 03:00:00 +0000 UTC,5128581,,,,271.07,269.82,272.15,1021,,,54,9,300,,,,,,,,,20,801,Clouds,few clouds,"02n"""
"""1357012800",2013-01-01 04:00:00 +0000 UTC,5128581,,,,270.83,269.82,272.15,1021,,,54,8,300,,,,,,,,,1,800,Clear,sky is clear,"01n"""
"""1357016400",2013-01-01 05:00:00 +0000 UTC,5128581,,,,270.64,269.15,272.15,1022,,,54,6,300,,,,,,,,,1,800,Clear,sky is clear,"01n"""
"""1357020000",2013-01-01 06:00:00 +0000 UTC,5128581,,,,269.98,269.82,270.37,0,,,0,1,292,,,,0,,,,,0,800,Clear,sky is clear,"01n"""
"""1357023600",2013-01-01 07:00:00 +0000 UTC,5128581,,,,269.76,266.15,272.15,1022,,,46,5,270,,,,,,,,,20,801,Clouds,few clouds,"02n"""
"""1357027200",2013-01-01 08:00:00 +0000 UTC,5128581,,,,270.17,269.15,272.15,1022,,,46,5,260,,,,,,,,,40,802,Clouds,scattered clouds,"03n"""
"""1357030800",2013-01-01 09:00:00 +0000 UTC,5128581,,,,271.33,270.93,272.15,1022,,,46,6,270,,,,,,,,,90,804,Clouds,overcast clouds,"04n"""
"""1357034400",2013-01-01 10:00:00 +0000 UTC,5128581,,,,271.75,270.15,274.15,1022,,,47,7,260,,,,,,,,,90,804,Clouds,overcast clouds,"04n"""
"""1357038000",2013-01-01 11:00:00 +0000 UTC,5128581,,,,271.34,270.15,274.15,1021,,,50,5,260,,,,,,,,,75,803,Clouds,broken clouds,"04n"""
"""1357041600",2013-01-01 12:00:00 +0000 UTC,5128581,,,,271.41,270.15,273.15,1022,,,0,6,270,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357045200",2013-01-01 13:00:00 +0000 UTC,5128581,,,,271.6,271.15,272.15,1021,,,58,8,260,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357048800",2013-01-01 14:00:00 +0000 UTC,5128581,,,,272.14,271.15,273.15,1022,,,58,6,250,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357052400",2013-01-01 15:00:00 +0000 UTC,5128581,,,,273.12,272.15,275.93,1022,,,0,5,260,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357056000",2013-01-01 16:00:00 +0000 UTC,5128581,,,,274.37,273.15,277.59,1021,,,50,4,260,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357059600",2013-01-01 17:00:00 +0000 UTC,5128581,,,,275.37,275.15,276.48,1020,,,47,5,260,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357063200",2013-01-01 18:00:00 +0000 UTC,5128581,,,,276.43,275.15,278.71,1018,,,47,4,260,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357066800",2013-01-01 19:00:00 +0000 UTC,5128581,,,,276.61,275.93,277.15,1017,,,47,4,250,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357070400",2013-01-01 20:00:00 +0000 UTC,5128581,,,,276.27,275.93,277.15,1017,,,44,6,250,,,,,,,,,75,803,Clouds,broken clouds,"04d"""
"""1357074000",2013-01-01 21:00:00 +0000 UTC,5128581,,,,275.56,274.26,276.15,1015,,,47,5,240,,,,,,,,,75,803,Clouds,broken clouds,"04n"""
