Date,time,temp,wind_speed,rain_today,snow_today,weather_description
2013-01-01,0:00:00,272.03,13,,,few clouds
2013-01-01,1:00:00,271.46,11,,,few clouds
2013-01-01,2:00:00,271.19,8,,,few clouds
2013-01-01,3:00:00,271.07,9,,,few clouds
2013-01-01,4:00:00,270.83,8,,,sky is clear
2013-01-01,5:00:00,270.64,6,,,sky is clear
2013-01-01,6:00:00,269.98,1,0,,sky is clear
2013-01-01,7:00:00,269.76,5,,,few clouds
2013-01-01,8:00:00,270.17,5,,,scattered clouds
2013-01-01,9:00:00,271.33,6,,,overcast clouds
2013-01-01,10:00:00,271.75,7,,,overcast clouds
2013-01-01,11:00:00,271.34,5,,,broken clouds
2013-01-01,12:00:00,271.41,6,,,broken clouds
2013-01-01,13:00:00,271.6,8,,,broken clouds
2013-01-01,14:00:00,272.14,6,,,broken clouds
2013-01-01,15:00:00,273.12,5,,,broken clouds
2013-01-01,16:00:00,274.37,4,,,broken clouds
2013-01-01,17:00:00,275.37,5,,,broken clouds
2013-01-01,18:00:00,276.43,4,,,broken clouds
2013-01-01,19:00:00,276.61,4,,,broken clouds
2013-01-01,20:00:00,276.27,6,,,broken clouds
2013-01-01,21:00:00,275.56,5,,,broken clouds
2013-01-01,22:00:00,275.5,4,,,broken clouds
2013-01-01,23:00:00,275.83,5,,,overcast clouds
2013-01-02,0:00:00,275.76,7,,,overcast clouds
2013-01-02,1:00:00,275.83,6,,,overcast clouds
2013-01-02,2:00:00,276.03,6,,,overcast clouds
2013-01-02,3:00:00,276.03,6,,,overcast clouds
2013-01-02,4:00:00,276.09,7,,,overcast clouds
2013-01-02,5:00:00,276.6,8,,,overcast clouds
2013-01-02,6:00:00,276.8,6,,,overcast clouds
2013-01-02,7:00:00,276.66,6,,,overcast clouds
2013-01-02,8:00:00,276.8,7,,,overcast clouds
2013-01-02,9:00:00,276.73,7,,,overcast clouds
2013-01-02,10:00:00,276.67,7,,,overcast clouds
2013-01-02,11:00:00,276.73,6,,,broken clouds
2013-01-02,12:00:00,276.65,7,,,broken clouds
2013-01-02,13:00:00,276.6,6,,,broken clouds
2013-01-02,14:00:00,276.8,6,,,overcast clouds
2013-01-02,15:00:00,277.17,8,,,overcast clouds
2013-01-02,16:00:00,277.17,5,,,overcast clouds
2013-01-02,17:00:00,276.78,7,,,light rain
2013-01-02,18:00:00,276.26,7,,,light rain
2013-01-02,19:00:00,276.33,7,,,overcast clouds
2013-01-02,20:00:00,276.4,4,,,overcast clouds
2013-01-02,21:00:00,276.07,5,,,broken clouds
2013-01-02,22:00:00,275.17,5,,,broken clouds
2013-01-02,23:00:00,274.32,8,,,broken clouds
2013-01-03,0:00:00,273.48,6,,,broken clouds
2013-01-03,1:00:00,272.95,6,,,broken clouds
2013-01-03,2:00:00,272.11,5,,,broken clouds
2013-01-03,3:00:00,271.14,7,,,broken clouds
2013-01-03,4:00:00,270.42,10,,,broken clouds
2013-01-03,5:00:00,269.48,3,,,sky is clear
2013-01-03,7:00:00,268,6,,,overcast clouds
2013-01-03,8:00:00,268,6,,,overcast clouds
2013-01-03,10:00:00,268,6,,,overcast clouds
2013-01-03,11:00:00,268,6,,,overcast clouds
2013-01-03,12:00:00,268,6,,,overcast clouds
2013-01-03,13:00:00,269.39,5,,,overcast clouds
2013-01-03,15:00:00,270.33,5,,,broken clouds
2013-01-03,16:00:00,271.29,5,,,broken clouds
2013-01-03,17:00:00,272.05,5,,,broken clouds
2013-01-03,18:00:00,272.78,8,,,broken clouds
2013-01-03,19:00:00,273.76,6,,,broken clouds
2013-01-03,20:00:00,273.95,7,,,broken clouds
2013-01-03,21:00:00,273.16,8,,,overcast clouds
2013-01-03,22:00:00,272.51,6,,,overcast clouds
2013-01-03,23:00:00,271.66,1,0,,overcast clouds
2013-01-04,0:00:00,271.91,6,,,broken clouds
2013-01-04,1:00:00,271.41,5,,,broken clouds
2013-01-04,2:00:00,271.27,4,,,broken clouds
2013-01-04,3:00:00,270.97,6,,,broken clouds
2013-01-04,4:00:00,270.83,5,,,broken clouds
2013-01-04,5:00:00,270.77,6,,,broken clouds
2013-01-04,6:00:00,270.53,6,,,broken clouds
2013-01-04,7:00:00,270.39,5,,,broken clouds
2013-01-04,8:00:00,270.12,6,,,broken clouds
2013-01-04,9:00:00,269.72,6,,,broken clouds
2013-01-04,10:00:00,269.41,5,,,broken clouds
2013-01-04,11:00:00,269.07,3,,,broken clouds
2013-01-04,12:00:00,268.63,5,,,broken clouds
2013-01-04,13:00:00,268.59,4,,,broken clouds
2013-01-04,14:00:00,269.04,4,,,broken clouds
2013-01-04,15:00:00,270.39,3,,,broken clouds
2013-01-04,16:00:00,271.09,4,,,broken clouds
2013-01-04,17:00:00,272.4,2,,,broken clouds
2013-01-04,18:00:00,273.25,3,,,scattered clouds
2013-01-04,19:00:00,274.29,4,,,scattered clouds
2013-01-04,20:00:00,274.29,2,,,few clouds
2013-01-04,21:00:00,273.28,4,,,few clouds
2013-01-04,22:00:00,272.44,6,,,few clouds
2013-01-04,23:00:00,271.92,4,,,few clouds
2013-01-05,0:00:00,271.99,5,,,scattered clouds
2013-01-05,1:00:00,272.31,5,,,broken clouds
2013-01-05,2:00:00,272.05,4,,,overcast clouds
2013-01-05,3:00:00,272.25,7,,,overcast clouds
2013-01-05,4:00:00,272.45,6,,,overcast clouds
2013-01-05,5:00:00,272.64,5,,,overcast clouds
2013-01-05,10:00:00,272.82,6,,,scattered clouds
2013-01-05,11:00:00,273.61,7,,,overcast clouds
2013-01-05,13:00:00,274.2,8,,,overcast clouds
2013-01-05,14:00:00,274.39,7,,,overcast clouds
2013-01-05,15:00:00,274.98,8,,,overcast clouds
2013-01-05,16:00:00,275.65,6,,,broken clouds
2013-01-05,17:00:00,275.36,8,,,broken clouds
2013-01-05,18:00:00,276.68,7,,,broken clouds
2013-01-05,19:00:00,276.55,6,,,few clouds
2013-01-05,20:00:00,276.34,6,,,few clouds
2013-01-05,21:00:00,275.62,7,,,sky is clear
2013-01-05,22:00:00,275.23,7,,,sky is clear
2013-01-05,23:00:00,275.16,7,,,sky is clear
2013-01-06,0:00:00,275.09,7,,,sky is clear
2013-01-06,1:00:00,274.84,8,,,sky is clear
2013-01-06,2:00:00,274.46,6,,,sky is clear
2013-01-06,3:00:00,274.07,4,,,sky is clear
2013-01-06,4:00:00,273.8,5,,,sky is clear
2013-01-06,5:00:00,273.81,4,,,sky is clear
2013-01-06,6:00:00,273.87,4,,,sky is clear
2013-01-06,7:00:00,273.74,6,,,sky is clear
2013-01-06,8:00:00,273.23,6,,,sky is clear
2013-01-06,9:00:00,272.91,4,,,sky is clear
2013-01-06,10:00:00,272.91,6,,,broken clouds
2013-01-06,11:00:00,273.09,5,,,overcast clouds
2013-01-06,12:00:00,273.35,5,,,broken clouds
2013-01-06,13:00:00,273.63,5,,,scattered clouds
2013-01-06,14:00:00,275.08,6,,,few clouds
2013-01-06,15:00:00,276.96,3,,,scattered clouds
2013-01-06,16:00:00,277.72,7,,,scattered clouds
2013-01-06,17:00:00,278.77,8,,,scattered clouds
2013-01-06,18:00:00,279.06,5,,,scattered clouds
2013-01-06,19:00:00,279.94,4,,,scattered clouds
2013-01-06,20:00:00,280,4,,,scattered clouds
2013-01-06,21:00:00,278.26,3,,,few clouds
2013-01-06,22:00:00,276.21,2,,,scattered clouds
2013-01-06,23:00:00,273.77,0,0,,scattered clouds
2013-01-07,0:00:00,273.78,0,,,scattered clouds
2013-01-07,1:00:00,272.56,2,,,scattered clouds
2013-01-07,2:00:00,273.04,1,,,scattered clouds
2013-01-07,3:00:00,272.5,3,,,broken clouds
2013-01-07,4:00:00,273.01,1,,,broken clouds
2013-01-07,5:00:00,273.46,2,,,broken clouds
2013-01-07,6:00:00,273.85,2,,,overcast clouds
2013-01-07,7:00:00,273.96,3,,,overcast clouds
2013-01-07,8:00:00,274.02,4,,,overcast clouds
2013-01-07,9:00:00,273.76,3,,,overcast clouds
2013-01-07,10:00:00,273.75,4,,,heavy snow
2013-01-07,11:00:00,273.93,3,,,mist
2013-01-07,12:00:00,273.88,3,,,mist
2013-01-07,13:00:00,274.15,4,,,mist
2013-01-07,14:00:00,274.86,4,,,mist
2013-01-07,15:00:00,275.89,3,,,mist
2013-01-07,15:00:00,275.89,3,,,haze
2013-01-07,16:00:00,277,3,,,haze
2013-01-07,17:00:00,279.04,4,,,haze
2013-01-07,18:00:00,280.98,4,,,haze
2013-01-07,19:00:00,281.36,3,,,scattered clouds
2013-01-07,20:00:00,281.54,3,,,scattered clouds
2013-01-07,21:00:00,280.36,3,,,few clouds
2013-01-07,22:00:00,279.32,5,,,scattered clouds
2013-01-07,23:00:00,278.33,6,,,broken clouds
2013-01-08,0:00:00,278.23,7,,,broken clouds
2013-01-08,1:00:00,278.35,6,,,overcast clouds
2013-01-08,2:00:00,278.23,5,,,overcast clouds
2013-01-08,3:00:00,277.59,5,,,overcast clouds
2013-01-08,4:00:00,276.87,4,,,scattered clouds
2013-01-08,5:00:00,276.34,4,,,broken clouds
2013-01-08,6:00:00,275.78,5,,,scattered clouds
2013-01-08,7:00:00,275.44,6,,,scattered clouds
2013-01-08,8:00:00,274.68,6,,,few clouds
2013-01-08,9:00:00,275.02,6,,,few clouds
2013-01-08,10:00:00,274.69,7,,,few clouds
2013-01-08,11:00:00,274.06,4,,,few clouds
2013-01-08,12:00:00,274.2,5,,,few clouds
2013-01-08,13:00:00,275.7,6,,,broken clouds
2013-01-08,14:00:00,278.13,7,,,few clouds
2013-01-08,15:00:00,278.91,6,,,few clouds
2013-01-08,16:00:00,279.87,5,,,few clouds
2013-01-08,17:00:00,280.47,6,,,few clouds
2013-01-08,18:00:00,280.6,3,,,few clouds
2013-01-08,19:00:00,281.18,3,,,sky is clear
2013-01-08,22:00:00,277.21,0,,,sky is clear
2013-01-08,23:00:00,275.64,0,,,sky is clear
2013-01-09,0:00:00,274.23,0,,,sky is clear
2013-01-09,1:00:00,273.54,0,,,sky is clear
2013-01-09,2:00:00,272.3,0,,,sky is clear
2013-01-09,3:00:00,272.43,3,,,sky is clear
2013-01-09,4:00:00,271.65,2,,,sky is clear
2013-01-09,5:00:00,270.81,3,,,sky is clear
2013-01-09,6:00:00,270.91,1,,,sky is clear
2013-01-09,7:00:00,270.75,3,,,sky is clear
2013-01-09,8:00:00,270.39,1,,,sky is clear
2013-01-09,10:00:00,270.26,2,,,sky is clear
2013-01-09,11:00:00,270.41,2,,,sky is clear
2013-01-09,13:00:00,272.66,4,,,haze
2013-01-09,14:00:00,274.67,4,,,haze
2013-01-09,15:00:00,277,4,,,few clouds
2013-01-09,16:00:00,279.51,7,,,few clouds
2013-01-09,17:00:00,280.31,7,,,broken clouds
2013-01-09,18:00:00,281.26,6,,,broken clouds
2013-01-09,19:00:00,282.48,4,,,scattered clouds
2013-01-09,20:00:00,282.31,3,,,broken clouds
2013-01-09,21:00:00,281.2,4,,,broken clouds
2013-01-09,22:00:00,280.1,5,,,broken clouds
2013-01-09,23:00:00,279.32,4,,,broken clouds
2013-01-10,0:00:00,277.42,3,,,broken clouds
2013-01-10,1:00:00,276.91,3,,,broken clouds
2013-01-10,2:00:00,275.93,0,0,,few clouds
2013-01-10,9:00:00,273.29,0,,,mist
2013-01-10,10:00:00,272.52,0,,,mist
2013-01-10,18:00:00,279.78,4,,,haze
2013-01-10,22:00:00,281.62,6,,,overcast clouds
2013-01-10,23:00:00,281.27,7,,,few clouds
2013-01-11,0:00:00,281.24,10,,,sky is clear
2013-01-11,1:00:00,280.98,9,,,sky is clear
2013-01-11,3:00:00,280.8,8,,,sky is clear
2013-01-11,4:00:00,280.2,7,,,sky is clear
2013-01-11,6:00:00,279.55,6,,,sky is clear
2013-01-11,8:00:00,279.2,7,,,sky is clear
2013-01-11,9:00:00,278.77,4,,,sky is clear
2013-01-11,10:00:00,277.99,5,,,sky is clear
2013-01-11,11:00:00,277.59,6,,,few clouds
2013-01-11,12:00:00,277.62,6,,,broken clouds
2013-01-11,13:00:00,279.15,4,,,scattered clouds
2013-01-11,14:00:00,279.8,6,,,broken clouds
2013-01-11,15:00:00,280.15,7,,,broken clouds
2013-01-11,16:00:00,280.54,7,,,broken clouds
2013-01-11,18:00:00,281.77,7,,,scattered clouds
2013-01-11,19:00:00,282.19,5,,,scattered clouds
2013-01-11,20:00:00,281.37,5,,,scattered clouds
2013-01-11,22:00:00,278.94,4,,,few clouds
2013-01-11,23:00:00,278.02,3,,,scattered clouds
2013-01-12,0:00:00,277.85,3,,,broken clouds
2013-01-12,1:00:00,276.56,3,,,broken clouds
2013-01-12,2:00:00,276.06,2,,,broken clouds
2013-01-12,4:00:00,275.02,2,,,broken clouds
2013-01-12,6:00:00,274.77,1,,,sky is clear
2013-01-12,7:00:00,273.99,3,,,broken clouds
2013-01-12,8:00:00,273.59,2,,,broken clouds
2013-01-12,10:00:00,274.55,3,,,broken clouds
2013-01-12,11:00:00,274.54,2,,,overcast clouds
2013-01-12,12:00:00,274.94,2,,,overcast clouds
2013-01-12,13:00:00,276.12,3,,,overcast clouds
2013-01-12,14:00:00,277.07,3,,,overcast clouds
2013-01-12,15:00:00,277.85,4,,,overcast clouds
2013-01-12,16:00:00,278.41,4,,,overcast clouds
2013-01-12,17:00:00,278.81,4,,,light rain
2013-01-12,18:00:00,278.63,4,,,light rain
2013-01-12,18:00:00,278.63,4,,,light intensity drizzle
2013-01-12,19:00:00,278.76,4,,,light rain
2013-01-12,21:00:00,278.98,4,,,light rain
2013-01-12,22:00:00,279,3,,,light rain
2013-01-12,22:00:00,279,3,,,mist
2013-01-12,23:00:00,278.4,4,,,moderate rain
2013-01-12,23:00:00,278.4,4,,,mist
2013-01-12,23:00:00,278.4,4,,,light rain
2013-01-13,0:00:00,278.45,3,,,light rain
2013-01-13,0:00:00,278.45,3,,,mist
2013-01-13,0:00:00,278.45,3,,,moderate rain
2013-01-13,1:00:00,278.46,2,,,moderate rain
2013-01-13,1:00:00,278.46,2,,,mist
2013-01-13,1:00:00,278.46,2,,,light rain
2013-01-13,2:00:00,278.46,2,,,light rain
2013-01-13,2:00:00,278.46,2,,,mist
2013-01-13,2:00:00,278.46,2,,,moderate rain
2013-01-13,3:00:00,278.24,3,,,light rain
2013-01-13,3:00:00,278.24,3,,,mist
2013-01-13,3:00:00,278.24,3,,,drizzle
2013-01-13,4:00:00,278.67,3,,,light rain
2013-01-13,4:00:00,278.67,3,,,mist
2013-01-13,4:00:00,278.67,3,,,moderate rain
2013-01-13,5:00:00,278.45,4,,,light rain
2013-01-13,5:00:00,278.45,4,,,mist
2013-01-13,6:00:00,279.06,3,,,light rain
2013-01-13,6:00:00,279.06,3,,,mist
2013-01-13,6:00:00,279.06,3,,,light intensity drizzle
2013-01-13,7:00:00,279.24,2,,,mist
2013-01-13,7:00:00,279.24,2,,,light intensity drizzle
2013-01-13,8:00:00,279.24,3,,,mist
2013-01-13,9:00:00,279.63,4,,,mist
2013-01-13,10:00:00,279.63,3,,,mist
2013-01-13,12:00:00,279.95,3,,,mist
2013-01-13,13:00:00,279.8,5,,,mist
2013-01-13,15:00:00,280.75,3,,,mist
2013-01-13,16:00:00,281.15,2,,,mist
2013-01-13,18:00:00,281.32,2,,,mist
2013-01-13,19:00:00,281.32,2,,,mist
2013-01-13,21:00:00,280.93,2,,,light intensity drizzle
2013-01-13,21:00:00,280.93,2,,,mist
2013-01-13,22:00:00,280.71,3,,,light intensity drizzle
2013-01-13,22:00:00,280.71,3,,,mist
2013-01-14,0:00:00,280.15,1,,,light intensity drizzle
2013-01-14,0:00:00,280.15,1,,,mist
2013-01-14,1:00:00,280.15,0,,,mist
2013-01-14,3:00:00,280.15,0,,,fog
2013-01-14,3:00:00,280.15,0,,,mist
2013-01-14,4:00:00,280.15,2,,,fog
2013-01-14,4:00:00,280.15,2,,,mist
2013-01-14,5:00:00,279.98,0,,,mist
2013-01-14,5:00:00,279.98,0,,,fog
2013-01-14,6:00:00,279.76,2,,,fog
2013-01-14,6:00:00,279.76,2,,,mist
2013-01-14,8:00:00,279.76,2,,,fog
2013-01-14,8:00:00,279.76,2,,,mist
2013-01-14,9:00:00,279.98,2,,,fog
2013-01-14,10:00:00,279.98,2,,,fog
2013-01-14,12:00:00,279.93,2,,,fog
2013-01-14,12:00:00,279.93,2,,,mist
2013-01-14,13:00:00,279.93,2,,,fog
2013-01-14,13:00:00,279.93,2,,,mist
2013-01-14,15:00:00,280.15,4,,,mist
2013-01-14,15:00:00,280.15,4,,,fog
2013-01-14,16:00:00,280.15,3,,,mist
2013-01-14,16:00:00,280.15,3,,,fog
2013-01-14,17:00:00,280.98,2,,,mist
2013-01-14,17:00:00,280.98,2,,,fog
2013-01-14,18:00:00,280.98,2,,,mist
2013-01-14,18:00:00,280.98,2,,,fog
2013-01-14,19:00:00,281.58,3,,,mist
2013-01-14,19:00:00,281.58,3,,,fog
2013-01-14,20:00:00,281.36,3,,,mist
2013-01-14,20:00:00,281.36,3,,,light intensity drizzle
2013-01-14,21:00:00,281.7,4,,,mist
2013-01-14,22:00:00,281.45,4,,,mist
2013-01-14,23:00:00,281.84,3,,,mist
2013-01-15,0:00:00,281.66,2,,,mist
2013-01-15,0:00:00,281.66,2,,,fog
2013-01-15,1:00:00,281.78,0,,,mist
2013-01-15,1:00:00,281.78,0,,,fog
2013-01-15,2:00:00,281.78,0,,,mist
2013-01-15,2:00:00,281.78,0,,,light intensity drizzle
2013-01-15,2:00:00,281.78,0,,,drizzle
