Time,Total_Traffic_Passengers,humidity,wind_speed,real_temp,day_of_week,year,month,day,rain_today_clear,rain_today_drizzle,rain_today_intensity,rain_today_others,rain_today_rain,rain_today_snow,snow_today_others,Line Name_1R,Line Name_1RW
20,475.0,270.0,75.0,38.660000000000075,5,2016,12,30,0,0,0,1,0,0,1,0,1
16,594.0,300.0,40.0,37.940000000000026,5,2016,12,30,0,0,0,1,0,0,1,0,1
12,512.0,250.0,20.0,33.8,5,2016,12,30,0,0,0,1,0,0,1,0,1
20,306.0,160.0,90.0,41.468000000000096,4,2016,12,29,0,0,0,1,0,0,1,0,1
20,306.0,160.0,90.0,41.468000000000096,4,2016,12,29,0,0,0,1,0,0,1,0,1
20,306.0,160.0,90.0,41.468000000000096,4,2016,12,29,0,0,0,1,0,0,1,0,1
16,302.0,200.0,90.0,38.174000000000014,4,2016,12,29,0,0,0,1,0,0,1,0,1
16,302.0,200.0,90.0,38.174000000000014,4,2016,12,29,0,0,0,1,0,0,1,0,1
16,302.0,200.0,90.0,38.174000000000014,4,2016,12,29,0,0,0,1,0,0,1,0,1
12,609.0,159.0,75.0,31.370000000000058,4,2016,12,29,0,0,0,1,0,0,1,0,1
20,538.0,340.0,90.0,38.372000000000035,3,2016,12,28,0,0,0,1,0,0,1,0,1
16,459.0,310.0,90.0,39.056000000000026,3,2016,12,28,0,0,0,1,0,0,1,0,1
12,580.0,294.0,5.0,36.14000000000002,3,2016,12,28,0,0,0,1,0,0,1,0,1
20,564.0,290.0,20.0,60.09800000000003,2,2016,12,27,0,0,0,1,0,0,1,0,1
16,379.0,280.0,90.0,55.22000000000007,2,2016,12,27,0,1,0,0,0,0,1,0,1
16,379.0,280.0,90.0,55.22000000000007,2,2016,12,27,0,0,0,1,0,0,1,0,1
16,379.0,280.0,90.0,55.22000000000007,2,2016,12,27,0,0,0,1,0,0,1,0,1
12,611.0,250.0,90.0,53.87000000000007,2,2016,12,27,0,0,0,1,0,0,1,0,1
20,296.0,164.0,90.0,37.256000000000036,1,2016,12,26,0,0,0,1,0,0,1,0,1
