,dt_iso,temp,wind_speed,rain_today,snow_today,weather_description
0,2013-01-01 00:00:00 +0000 UTC,272.03,13.0,,,few clouds
1,2013-01-01 01:00:00 +0000 UTC,271.46,11.0,,,few clouds
2,2013-01-01 02:00:00 +0000 UTC,271.19,8.0,,,few clouds
3,2013-01-01 03:00:00 +0000 UTC,271.07,9.0,,,few clouds
4,2013-01-01 04:00:00 +0000 UTC,270.83,8.0,,,sky is clear
5,2013-01-01 05:00:00 +0000 UTC,270.64,6.0,,,sky is clear
6,2013-01-01 06:00:00 +0000 UTC,269.98,1.0,0.0,,sky is clear
7,2013-01-01 07:00:00 +0000 UTC,269.76,5.0,,,few clouds
8,2013-01-01 08:00:00 +0000 UTC,270.17,5.0,,,scattered clouds
9,2013-01-01 09:00:00 +0000 UTC,271.33,6.0,,,overcast clouds
10,2013-01-01 10:00:00 +0000 UTC,271.75,7.0,,,overcast clouds
11,2013-01-01 11:00:00 +0000 UTC,271.34,5.0,,,broken clouds
12,2013-01-01 12:00:00 +0000 UTC,271.41,6.0,,,broken clouds
13,2013-01-01 13:00:00 +0000 UTC,271.6,8.0,,,broken clouds
14,2013-01-01 14:00:00 +0000 UTC,272.14,6.0,,,broken clouds
15,2013-01-01 15:00:00 +0000 UTC,273.12,5.0,,,broken clouds
16,2013-01-01 16:00:00 +0000 UTC,274.37,4.0,,,broken clouds
17,2013-01-01 17:00:00 +0000 UTC,275.37,5.0,,,broken clouds
18,2013-01-01 18:00:00 +0000 UTC,276.43,4.0,,,broken clouds
19,2013-01-01 19:00:00 +0000 UTC,276.61,4.0,,,broken clouds
20,2013-01-01 20:00:00 +0000 UTC,276.27,6.0,,,broken clouds
21,2013-01-01 21:00:00 +0000 UTC,275.56,5.0,,,broken clouds
22,2013-01-01 22:00:00 +0000 UTC,275.5,4.0,,,broken clouds
23,2013-01-01 23:00:00 +0000 UTC,275.83,5.0,,,overcast clouds
24,2013-01-02 00:00:00 +0000 UTC,275.76,7.0,,,overcast clouds
25,2013-01-02 01:00:00 +0000 UTC,275.83,6.0,,,overcast clouds
26,2013-01-02 02:00:00 +0000 UTC,276.03,6.0,,,overcast clouds
27,2013-01-02 03:00:00 +0000 UTC,276.03,6.0,,,overcast clouds
28,2013-01-02 04:00:00 +0000 UTC,276.09,7.0,,,overcast clouds
29,2013-01-02 05:00:00 +0000 UTC,276.6,8.0,,,overcast clouds
30,2013-01-02 06:00:00 +0000 UTC,276.8,6.0,,,overcast clouds
31,2013-01-02 07:00:00 +0000 UTC,276.66,6.0,,,overcast clouds
32,2013-01-02 08:00:00 +0000 UTC,276.8,7.0,,,overcast clouds
33,2013-01-02 09:00:00 +0000 UTC,276.73,7.0,,,overcast clouds
34,2013-01-02 10:00:00 +0000 UTC,276.67,7.0,,,overcast clouds
35,2013-01-02 11:00:00 +0000 UTC,276.73,6.0,,,broken clouds
36,2013-01-02 12:00:00 +0000 UTC,276.65,7.0,,,broken clouds
37,2013-01-02 13:00:00 +0000 UTC,276.6,6.0,,,broken clouds
38,2013-01-02 14:00:00 +0000 UTC,276.8,6.0,,,overcast clouds
39,2013-01-02 15:00:00 +0000 UTC,277.17,8.0,,,overcast clouds
40,2013-01-02 16:00:00 +0000 UTC,277.17,5.0,,,overcast clouds
41,2013-01-02 17:00:00 +0000 UTC,276.78,7.0,,,light rain
42,2013-01-02 18:00:00 +0000 UTC,276.26,7.0,,,light rain
43,2013-01-02 19:00:00 +0000 UTC,276.33,7.0,,,overcast clouds
44,2013-01-02 20:00:00 +0000 UTC,276.4,4.0,,,overcast clouds
45,2013-01-02 21:00:00 +0000 UTC,276.07,5.0,,,broken clouds
46,2013-01-02 22:00:00 +0000 UTC,275.17,5.0,,,broken clouds
47,2013-01-02 23:00:00 +0000 UTC,274.32,8.0,,,broken clouds
48,2013-01-03 00:00:00 +0000 UTC,273.48,6.0,,,broken clouds
49,2013-01-03 01:00:00 +0000 UTC,272.95,6.0,,,broken clouds
50,2013-01-03 02:00:00 +0000 UTC,272.11,5.0,,,broken clouds
51,2013-01-03 03:00:00 +0000 UTC,271.14,7.0,,,broken clouds
52,2013-01-03 04:00:00 +0000 UTC,270.42,10.0,,,broken clouds
53,2013-01-03 05:00:00 +0000 UTC,269.48,3.0,,,sky is clear
54,2013-01-03 07:00:00 +0000 UTC,268,6.0,,,overcast clouds
55,2013-01-03 08:00:00 +0000 UTC,268,6.0,,,overcast clouds
56,2013-01-03 10:00:00 +0000 UTC,268,6.0,,,overcast clouds
57,2013-01-03 11:00:00 +0000 UTC,268,6.0,,,overcast clouds
58,2013-01-03 12:00:00 +0000 UTC,268,6.0,,,overcast clouds
59,2013-01-03 13:00:00 +0000 UTC,269.39,5.0,,,overcast clouds
60,2013-01-03 15:00:00 +0000 UTC,270.33,5.0,,,broken clouds
61,2013-01-03 16:00:00 +0000 UTC,271.29,5.0,,,broken clouds
62,2013-01-03 17:00:00 +0000 UTC,272.05,5.0,,,broken clouds
63,2013-01-03 18:00:00 +0000 UTC,272.78,8.0,,,broken clouds
64,2013-01-03 19:00:00 +0000 UTC,273.76,6.0,,,broken clouds
65,2013-01-03 20:00:00 +0000 UTC,273.95,7.0,,,broken clouds
66,2013-01-03 21:00:00 +0000 UTC,273.16,8.0,,,overcast clouds
67,2013-01-03 22:00:00 +0000 UTC,272.51,6.0,,,overcast clouds
68,2013-01-03 23:00:00 +0000 UTC,271.66,1.0,0.0,,overcast clouds
69,2013-01-04 00:00:00 +0000 UTC,271.91,6.0,,,broken clouds
70,2013-01-04 01:00:00 +0000 UTC,271.41,5.0,,,broken clouds
71,2013-01-04 02:00:00 +0000 UTC,271.27,4.0,,,broken clouds
72,2013-01-04 03:00:00 +0000 UTC,270.97,6.0,,,broken clouds
73,2013-01-04 04:00:00 +0000 UTC,270.83,5.0,,,broken clouds
74,2013-01-04 05:00:00 +0000 UTC,270.77,6.0,,,broken clouds
75,2013-01-04 06:00:00 +0000 UTC,270.53,6.0,,,broken clouds
76,2013-01-04 07:00:00 +0000 UTC,270.39,5.0,,,broken clouds
77,2013-01-04 08:00:00 +0000 UTC,270.12,6.0,,,broken clouds
78,2013-01-04 09:00:00 +0000 UTC,269.72,6.0,,,broken clouds
79,2013-01-04 10:00:00 +0000 UTC,269.41,5.0,,,broken clouds
80,2013-01-04 11:00:00 +0000 UTC,269.07,3.0,,,broken clouds
81,2013-01-04 12:00:00 +0000 UTC,268.63,5.0,,,broken clouds
82,2013-01-04 13:00:00 +0000 UTC,268.59,4.0,,,broken clouds
83,2013-01-04 14:00:00 +0000 UTC,269.04,4.0,,,broken clouds
84,2013-01-04 15:00:00 +0000 UTC,270.39,3.0,,,broken clouds
85,2013-01-04 16:00:00 +0000 UTC,271.09,4.0,,,broken clouds
86,2013-01-04 17:00:00 +0000 UTC,272.4,2.0,,,broken clouds
87,2013-01-04 18:00:00 +0000 UTC,273.25,3.0,,,scattered clouds
88,2013-01-04 19:00:00 +0000 UTC,274.29,4.0,,,scattered clouds
89,2013-01-04 20:00:00 +0000 UTC,274.29,2.0,,,few clouds
90,2013-01-04 21:00:00 +0000 UTC,273.28,4.0,,,few clouds
91,2013-01-04 22:00:00 +0000 UTC,272.44,6.0,,,few clouds
92,2013-01-04 23:00:00 +0000 UTC,271.92,4.0,,,few clouds
93,2013-01-05 00:00:00 +0000 UTC,271.99,5.0,,,scattered clouds
94,2013-01-05 01:00:00 +0000 UTC,272.31,5.0,,,broken clouds
95,2013-01-05 02:00:00 +0000 UTC,272.05,4.0,,,overcast clouds
96,2013-01-05 03:00:00 +0000 UTC,272.25,7.0,,,overcast clouds
97,2013-01-05 04:00:00 +0000 UTC,272.45,6.0,,,overcast clouds
98,2013-01-05 05:00:00 +0000 UTC,272.64,5.0,,,overcast clouds
99,2013-01-05 10:00:00 +0000 UTC,272.82,6.0,,,scattered clouds
100,2013-01-05 11:00:00 +0000 UTC,273.61,7.0,,,overcast clouds
101,2013-01-05 13:00:00 +0000 UTC,274.2,8.0,,,overcast clouds
102,2013-01-05 14:00:00 +0000 UTC,274.39,7.0,,,overcast clouds
103,2013-01-05 15:00:00 +0000 UTC,274.98,8.0,,,overcast clouds
104,2013-01-05 16:00:00 +0000 UTC,275.65,6.0,,,broken clouds
105,2013-01-05 17:00:00 +0000 UTC,275.36,8.0,,,broken clouds
106,2013-01-05 18:00:00 +0000 UTC,276.68,7.0,,,broken clouds
107,2013-01-05 19:00:00 +0000 UTC,276.55,6.0,,,few clouds
108,2013-01-05 20:00:00 +0000 UTC,276.34,6.0,,,few clouds
109,2013-01-05 21:00:00 +0000 UTC,275.62,7.0,,,sky is clear
110,2013-01-05 22:00:00 +0000 UTC,275.23,7.0,,,sky is clear
111,2013-01-05 23:00:00 +0000 UTC,275.16,7.0,,,sky is clear
112,2013-01-06 00:00:00 +0000 UTC,275.09,7.0,,,sky is clear
113,2013-01-06 01:00:00 +0000 UTC,274.84,8.0,,,sky is clear
114,2013-01-06 02:00:00 +0000 UTC,274.46,6.0,,,sky is clear
115,2013-01-06 03:00:00 +0000 UTC,274.07,4.0,,,sky is clear
116,2013-01-06 04:00:00 +0000 UTC,273.8,5.0,,,sky is clear
117,2013-01-06 05:00:00 +0000 UTC,273.81,4.0,,,sky is clear
118,2013-01-06 06:00:00 +0000 UTC,273.87,4.0,,,sky is clear
119,2013-01-06 07:00:00 +0000 UTC,273.74,6.0,,,sky is clear
120,2013-01-06 08:00:00 +0000 UTC,273.23,6.0,,,sky is clear
121,2013-01-06 09:00:00 +0000 UTC,272.91,4.0,,,sky is clear
122,2013-01-06 10:00:00 +0000 UTC,272.91,6.0,,,broken clouds
123,2013-01-06 11:00:00 +0000 UTC,273.09,5.0,,,overcast clouds
124,2013-01-06 12:00:00 +0000 UTC,273.35,5.0,,,broken clouds
125,2013-01-06 13:00:00 +0000 UTC,273.63,5.0,,,scattered clouds
126,2013-01-06 14:00:00 +0000 UTC,275.08,6.0,,,few clouds
127,2013-01-06 15:00:00 +0000 UTC,276.96,3.0,,,scattered clouds
128,2013-01-06 16:00:00 +0000 UTC,277.72,7.0,,,scattered clouds
129,2013-01-06 17:00:00 +0000 UTC,278.77,8.0,,,scattered clouds
130,2013-01-06 18:00:00 +0000 UTC,279.06,5.0,,,scattered clouds
131,2013-01-06 19:00:00 +0000 UTC,279.94,4.0,,,scattered clouds
132,2013-01-06 20:00:00 +0000 UTC,280,4.0,,,scattered clouds
133,2013-01-06 21:00:00 +0000 UTC,278.26,3.0,,,few clouds
134,2013-01-06 22:00:00 +0000 UTC,276.21,2.0,,,scattered clouds
135,2013-01-06 23:00:00 +0000 UTC,273.77,0.0,0.0,,scattered clouds
136,2013-01-07 00:00:00 +0000 UTC,273.78,0.0,,,scattered clouds
137,2013-01-07 01:00:00 +0000 UTC,272.56,2.0,,,scattered clouds
138,2013-01-07 02:00:00 +0000 UTC,273.04,1.0,,,scattered clouds
139,2013-01-07 03:00:00 +0000 UTC,272.5,3.0,,,broken clouds
140,2013-01-07 04:00:00 +0000 UTC,273.01,1.0,,,broken clouds
141,2013-01-07 05:00:00 +0000 UTC,273.46,2.0,,,broken clouds
142,2013-01-07 06:00:00 +0000 UTC,273.85,2.0,,,overcast clouds
143,2013-01-07 07:00:00 +0000 UTC,273.96,3.0,,,overcast clouds
144,2013-01-07 08:00:00 +0000 UTC,274.02,4.0,,,overcast clouds
145,2013-01-07 09:00:00 +0000 UTC,273.76,3.0,,,overcast clouds
146,2013-01-07 10:00:00 +0000 UTC,273.75,4.0,,,heavy snow
147,2013-01-07 11:00:00 +0000 UTC,273.93,3.0,,,mist
148,2013-01-07 12:00:00 +0000 UTC,273.88,3.0,,,mist
149,2013-01-07 13:00:00 +0000 UTC,274.15,4.0,,,mist
150,2013-01-07 14:00:00 +0000 UTC,274.86,4.0,,,mist
151,2013-01-07 15:00:00 +0000 UTC,275.89,3.0,,,mist
152,2013-01-07 15:00:00 +0000 UTC,275.89,3.0,,,haze
153,2013-01-07 16:00:00 +0000 UTC,277,3.0,,,haze
154,2013-01-07 17:00:00 +0000 UTC,279.04,4.0,,,haze
155,2013-01-07 18:00:00 +0000 UTC,280.98,4.0,,,haze
156,2013-01-07 19:00:00 +0000 UTC,281.36,3.0,,,scattered clouds
157,2013-01-07 20:00:00 +0000 UTC,281.54,3.0,,,scattered clouds
158,2013-01-07 21:00:00 +0000 UTC,280.36,3.0,,,few clouds
159,2013-01-07 22:00:00 +0000 UTC,279.32,5.0,,,scattered clouds
160,2013-01-07 23:00:00 +0000 UTC,278.33,6.0,,,broken clouds
161,2013-01-08 00:00:00 +0000 UTC,278.23,7.0,,,broken clouds
162,2013-01-08 01:00:00 +0000 UTC,278.35,6.0,,,overcast clouds
163,2013-01-08 02:00:00 +0000 UTC,278.23,5.0,,,overcast clouds
164,2013-01-08 03:00:00 +0000 UTC,277.59,5.0,,,overcast clouds
165,2013-01-08 04:00:00 +0000 UTC,276.87,4.0,,,scattered clouds
166,2013-01-08 05:00:00 +0000 UTC,276.34,4.0,,,broken clouds
167,2013-01-08 06:00:00 +0000 UTC,275.78,5.0,,,scattered clouds
168,2013-01-08 07:00:00 +0000 UTC,275.44,6.0,,,scattered clouds
169,2013-01-08 08:00:00 +0000 UTC,274.68,6.0,,,few clouds
170,2013-01-08 09:00:00 +0000 UTC,275.02,6.0,,,few clouds
171,2013-01-08 10:00:00 +0000 UTC,274.69,7.0,,,few clouds
172,2013-01-08 11:00:00 +0000 UTC,274.06,4.0,,,few clouds
173,2013-01-08 12:00:00 +0000 UTC,274.2,5.0,,,few clouds
174,2013-01-08 13:00:00 +0000 UTC,275.7,6.0,,,broken clouds
175,2013-01-08 14:00:00 +0000 UTC,278.13,7.0,,,few clouds
176,2013-01-08 15:00:00 +0000 UTC,278.91,6.0,,,few clouds
177,2013-01-08 16:00:00 +0000 UTC,279.87,5.0,,,few clouds
178,2013-01-08 17:00:00 +0000 UTC,280.47,6.0,,,few clouds
179,2013-01-08 18:00:00 +0000 UTC,280.6,3.0,,,few clouds
180,2013-01-08 19:00:00 +0000 UTC,281.18,3.0,,,sky is clear
181,2013-01-08 22:00:00 +0000 UTC,277.21,0.0,,,sky is clear
182,2013-01-08 23:00:00 +0000 UTC,275.64,0.0,,,sky is clear
183,2013-01-09 00:00:00 +0000 UTC,274.23,0.0,,,sky is clear
184,2013-01-09 01:00:00 +0000 UTC,273.54,0.0,,,sky is clear
185,2013-01-09 02:00:00 +0000 UTC,272.3,0.0,,,sky is clear
186,2013-01-09 03:00:00 +0000 UTC,272.43,3.0,,,sky is clear
187,2013-01-09 04:00:00 +0000 UTC,271.65,2.0,,,sky is clear
188,2013-01-09 05:00:00 +0000 UTC,270.81,3.0,,,sky is clear
189,2013-01-09 06:00:00 +0000 UTC,270.91,1.0,,,sky is clear
190,2013-01-09 07:00:00 +0000 UTC,270.75,3.0,,,sky is clear
191,2013-01-09 08:00:00 +0000 UTC,270.39,1.0,,,sky is clear
192,2013-01-09 10:00:00 +0000 UTC,270.26,2.0,,,sky is clear
193,2013-01-09 11:00:00 +0000 UTC,270.41,2.0,,,sky is clear
194,2013-01-09 13:00:00 +0000 UTC,272.66,4.0,,,haze
195,2013-01-09 14:00:00 +0000 UTC,274.67,4.0,,,haze
196,2013-01-09 15:00:00 +0000 UTC,277,4.0,,,few clouds
197,2013-01-09 16:00:00 +0000 UTC,279.51,7.0,,,few clouds
198,2013-01-09 17:00:00 +0000 UTC,280.31,7.0,,,broken clouds
199,2013-01-09 18:00:00 +0000 UTC,281.26,6.0,,,broken clouds
200,2013-01-09 19:00:00 +0000 UTC,282.48,4.0,,,scattered clouds
