Date,city_id,temp,humidity,wind_speed,rain_1h,rain_3h,rain_today,snow_today,clouds_all,weather_description
2013-01-01,0:00:00,272.03,310,20,Clouds,few,02n,,,
2013-01-01,1:00:00,271.46,310,20,Clouds,few,02n,,,
2013-01-01,2:00:00,271.19,330,20,Clouds,few,02n,,,
2013-01-01,3:00:00,271.07,300,20,Clouds,few,02n,,,
2013-01-01,4:00:00,270.83,300,1,Clear,sky,clear,,,
2013-01-01,5:00:00,270.64,300,1,Clear,sky,clear,,,
2013-01-01,6:00:00,269.98,292,0,800,Clear,is,,,
2013-01-01,7:00:00,269.76,270,20,Clouds,few,02n,,,
2013-01-01,8:00:00,270.17,260,40,Clouds,scattered,03n,,,
2013-01-01,9:00:00,271.33,270,90,Clouds,overcast,04n,,,
2013-01-01,10:00:00,271.75,260,90,Clouds,overcast,04n,,,
2013-01-01,11:00:00,271.34,260,75,Clouds,broken,04n,,,
2013-01-01,12:00:00,271.41,270,75,Clouds,broken,04d,,,
2013-01-01,13:00:00,271.6,260,75,Clouds,broken,04d,,,
2013-01-01,14:00:00,272.14,250,75,Clouds,broken,04d,,,
2013-01-01,15:00:00,273.12,260,75,Clouds,broken,04d,,,
2013-01-01,16:00:00,274.37,260,75,Clouds,broken,04d,,,
2013-01-01,17:00:00,275.37,260,75,Clouds,broken,04d,,,
2013-01-01,18:00:00,276.43,260,75,Clouds,broken,04d,,,
2013-01-01,19:00:00,276.61,250,75,Clouds,broken,04d,,,
2013-01-01,20:00:00,276.27,250,75,Clouds,broken,04d,,,
2013-01-01,21:00:00,275.56,240,75,Clouds,broken,04n,,,
2013-01-01,22:00:00,275.5,260,75,Clouds,broken,04n,,,
2013-01-01,23:00:00,275.83,250,90,Clouds,overcast,04n,,,
2013-01-02,0:00:00,275.76,230,90,Clouds,overcast,04n,,,
2013-01-02,1:00:00,275.83,240,90,Clouds,overcast,04n,,,
2013-01-02,2:00:00,276.03,240,90,Clouds,overcast,04n,,,
2013-01-02,3:00:00,276.03,240,90,Clouds,overcast,04n,,,
2013-01-02,4:00:00,276.09,250,90,Clouds,overcast,04n,,,
2013-01-02,5:00:00,276.6,260,90,Clouds,overcast,04n,,,
2013-01-02,6:00:00,276.8,250,90,Clouds,overcast,04n,,,
2013-01-02,7:00:00,276.66,260,90,Clouds,overcast,04n,,,
2013-01-02,8:00:00,276.8,260,90,Clouds,overcast,04n,,,
2013-01-02,9:00:00,276.73,260,90,Clouds,overcast,04n,,,
2013-01-02,10:00:00,276.67,260,90,Clouds,overcast,04n,,,
2013-01-02,11:00:00,276.73,250,75,Clouds,broken,04n,,,
2013-01-02,12:00:00,276.65,260,75,Clouds,broken,04d,,,
2013-01-02,13:00:00,276.6,250,75,Clouds,broken,04d,,,
2013-01-02,14:00:00,276.8,250,90,Clouds,overcast,04d,,,
2013-01-02,15:00:00,277.17,260,90,Clouds,overcast,04d,,,
2013-01-02,16:00:00,277.17,270,90,Clouds,overcast,04d,,,
2013-01-02,17:00:00,276.78,290,90,Rain,light,10d,,,
2013-01-02,18:00:00,276.26,320,90,Rain,light,10d,,,
2013-01-02,19:00:00,276.33,310,90,Clouds,overcast,04d,,,
2013-01-02,20:00:00,276.4,300,90,Clouds,overcast,04d,,,
2013-01-02,21:00:00,276.07,310,75,Clouds,broken,04n,,,
2013-01-02,22:00:00,275.17,330,75,Clouds,broken,04n,,,
2013-01-02,23:00:00,274.32,300,75,Clouds,broken,04n,,,
2013-01-03,0:00:00,273.48,320,75,Clouds,broken,04n,,,
2013-01-03,1:00:00,272.95,330,75,Clouds,broken,04n,,,
2013-01-03,2:00:00,272.11,330,75,Clouds,broken,04n,,,
2013-01-03,3:00:00,271.14,320,75,Clouds,broken,04n,,,
2013-01-03,4:00:00,270.42,310,75,Clouds,broken,04n,,,
2013-01-03,5:00:00,269.48,310,1,Clear,sky,clear,,,
2013-01-03,7:00:00,268,321,100,Clouds,overcast,04n,,,
2013-01-03,8:00:00,268,321,100,Clouds,overcast,04n,,,
2013-01-03,10:00:00,268,321,100,Clouds,overcast,04n,,,
2013-01-03,11:00:00,268,321,100,Clouds,overcast,04n,,,
2013-01-03,12:00:00,268,321,100,Clouds,overcast,04d,,,
2013-01-03,13:00:00,269.39,307,100,Clouds,overcast,04d,,,
2013-01-03,15:00:00,270.33,300,75,Clouds,broken,04d,,,
2013-01-03,16:00:00,271.29,320,75,Clouds,broken,04d,,,
2013-01-03,17:00:00,272.05,300,75,Clouds,broken,04d,,,
2013-01-03,18:00:00,272.78,310,75,Clouds,broken,04d,,,
2013-01-03,19:00:00,273.76,310,75,Clouds,broken,04d,,,
2013-01-03,20:00:00,273.95,330,75,Clouds,broken,04d,,,
2013-01-03,21:00:00,273.16,310,90,Clouds,overcast,04n,,,
2013-01-03,22:00:00,272.51,310,90,Clouds,overcast,04n,,,
2013-01-03,23:00:00,271.66,291,0,804,Clouds,clouds,,,
2013-01-04,0:00:00,271.91,310,75,Clouds,broken,04n,,,
2013-01-04,1:00:00,271.41,310,75,Clouds,broken,04n,,,
2013-01-04,2:00:00,271.27,310,75,Clouds,broken,04n,,,
