stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
101,,"Van Cortlandt Park - 242 St",,40.889248,-73.898583,,,1,,40.889142,-73.898841,1,rooftop,5959,Broadway,Bronx,NY,"Bronx County",10463,US,"City of New York"
101N,,"Van Cortlandt Park - 242 St",,40.889248,-73.898583,,,0,101,40.889142,-73.898841,1,rooftop,5959,Broadway,Bronx,NY,"Bronx County",10463,US,"City of New York"
101S,,"Van Cortlandt Park - 242 St",,40.889248,-73.898583,,,0,101,40.889142,-73.898841,1,rooftop,5959,Broadway,Bronx,NY,"Bronx County",10463,US,"City of New York"
103,,"238 St",,40.884667,-73.90087,,,1,,40.88459,-73.900664,1,rooftop,193,"W 237th St",Bronx,NY,"Bronx County",10463,US,"City of New York"
103N,,"238 St",,40.884667,-73.90087,,,0,103,40.88459,-73.900664,1,rooftop,193,"W 237th St",Bronx,NY,"Bronx County",10463,US,"City of New York"
103S,,"238 St",,40.884667,-73.90087,,,0,103,40.88459,-73.900664,1,rooftop,193,"W 237th St",Bronx,NY,"Bronx County",10463,US,"City of New York"
104,,"231 St",,40.878856,-73.904834,,,1,,40.878716,-73.904712,1,rooftop,5572,Broadway,Bronx,NY,"Bronx County",10463,US,"City of New York"
104N,,"231 St",,40.878856,-73.904834,,,0,104,40.878716,-73.904712,1,rooftop,5572,Broadway,Bronx,NY,"Bronx County",10463,US,"City of New York"
104S,,"231 St",,40.878856,-73.904834,,,0,104,40.878716,-73.904712,1,rooftop,5572,Broadway,Bronx,NY,"Bronx County",10463,US,"City of New York"
106,,"Marble Hill - 225 St",,40.874561,-73.909831,,,1,,40.874642,-73.909971,1,rooftop,5201,Broadway,Bronx,NY,"New York County",10463,US,"City of New York"
106N,,"Marble Hill - 225 St",,40.874561,-73.909831,,,0,106,40.874642,-73.909971,1,rooftop,5201,Broadway,Bronx,NY,"New York County",10463,US,"City of New York"
106S,,"Marble Hill - 225 St",,40.874561,-73.909831,,,0,106,40.874642,-73.909971,1,rooftop,5201,Broadway,Bronx,NY,"New York County",10463,US,"City of New York"
107,,"215 St",,40.869444,-73.915279,,,1,,40.869496,-73.915472,1,rooftop,500,"W 215th St","New York",NY,"New York County",10034,US,"City of New York"
107N,,"215 St",,40.869444,-73.915279,,,0,107,40.869496,-73.915472,1,rooftop,500,"W 215th St","New York",NY,"New York County",10034,US,"City of New York"
107S,,"215 St",,40.869444,-73.915279,,,0,107,40.869496,-73.915472,1,rooftop,500,"W 215th St","New York",NY,"New York County",10034,US,"City of New York"
108,,"207 St",,40.864621,-73.918822,,,1,,40.864714,-73.918987,1,rooftop,3876,"10th Ave","New York",NY,"New York County",10034,US,"City of New York"
108N,,"207 St",,40.864621,-73.918822,,,0,108,40.864714,-73.918987,1,rooftop,3876,"10th Ave","New York",NY,"New York County",10034,US,"City of New York"
108S,,"207 St",,40.864621,-73.918822,,,0,108,40.864714,-73.918987,1,rooftop,3876,"10th Ave","New York",NY,"New York County",10034,US,"City of New York"
109,,"Dyckman St",,40.860531,-73.925536,,,1,,40.860802,-73.925736,1,rooftop,152,"Hillside Ave","New York",NY,"New York County",10040,US,"City of New York"
109N,,"Dyckman St",,40.860531,-73.925536,,,0,109,40.860802,-73.925736,1,rooftop,152,"Hillside Ave","New York",NY,"New York County",10040,US,"City of New York"
109S,,"Dyckman St",,40.860531,-73.925536,,,0,109,40.860802,-73.925736,1,rooftop,152,"Hillside Ave","New York",NY,"New York County",10040,US,"City of New York"
110,,"191 St",,40.855225,-73.929412,,,1,,40.855253,-73.92962,1,rooftop,1609,"St Nicholas Ave","New York",NY,"New York County",10040,US,"City of New York"
110N,,"191 St",,40.855225,-73.929412,,,0,110,40.855253,-73.92962,1,rooftop,1609,"St Nicholas Ave","New York",NY,"New York County",10040,US,"City of New York"
110S,,"191 St",,40.855225,-73.929412,,,0,110,40.855253,-73.92962,1,rooftop,1609,"St Nicholas Ave","New York",NY,"New York County",10040,US,"City of New York"
111,,"181 St",,40.849505,-73.933596,,,1,,40.849593,-73.933749,1,rooftop,1421,"St Nicholas Ave","New York",NY,"New York County",10033,US,"City of New York"
111N,,"181 St",,40.849505,-73.933596,,,0,111,40.849593,-73.933749,1,rooftop,1421,"St Nicholas Ave","New York",NY,"New York County",10033,US,"City of New York"
111S,,"181 St",,40.849505,-73.933596,,,0,111,40.849593,-73.933749,1,rooftop,1421,"St Nicholas Ave","New York",NY,"New York County",10033,US,"City of New York"
112,,"168 St - Washington Hts",,40.840556,-73.940133,,,1,,40.84088,-73.940517,1,rooftop,3981,Broadway,"New York",NY,"New York County",10032,US,"City of New York"
112N,,"168 St - Washington Hts",,40.840556,-73.940133,,,0,112,40.84088,-73.940517,1,rooftop,3981,Broadway,"New York",NY,"New York County",10032,US,"City of New York"
112S,,"168 St - Washington Hts",,40.840556,-73.940133,,,0,112,40.84088,-73.940517,1,rooftop,3981,Broadway,"New York",NY,"New York County",10032,US,"City of New York"
113,,"157 St",,40.834041,-73.94489,,,1,,40.833864,-73.944701,1,rooftop,3778,Broadway,"New York",NY,"New York County",10032,US,"City of New York"
113N,,"157 St",,40.834041,-73.94489,,,0,113,40.833864,-73.944701,1,rooftop,3778,Broadway,"New York",NY,"New York County",10032,US,"City of New York"
113S,,"157 St",,40.834041,-73.94489,,,0,113,40.833864,-73.944701,1,rooftop,3778,Broadway,"New York",NY,"New York County",10032,US,"City of New York"
114,,"145 St",,40.826551,-73.95036,,,1,,40.826479,-73.950082,1,rooftop,3542,Broadway,"New York",NY,"New York County",10031,US,"City of New York"
114N,,"145 St",,40.826551,-73.95036,,,0,114,40.826479,-73.950082,1,rooftop,3542,Broadway,"New York",NY,"New York County",10031,US,"City of New York"
114S,,"145 St",,40.826551,-73.95036,,,0,114,40.826479,-73.950082,1,rooftop,3542,Broadway,"New York",NY,"New York County",10031,US,"City of New York"
115,,"137 St - City College",,40.822008,-73.953676,,,1,,40.822039,-73.953993,1,rooftop,3399,Broadway,"New York",NY,"New York County",10031,US,"City of New York"
115N,,"137 St - City College",,40.822008,-73.953676,,,0,115,40.822039,-73.953993,1,rooftop,3399,Broadway,"New York",NY,"New York County",10031,US,"City of New York"
115S,,"137 St - City College",,40.822008,-73.953676,,,0,115,40.822039,-73.953993,1,rooftop,3399,Broadway,"New York",NY,"New York County",10031,US,"City of New York"
116,,"125 St",,40.815581,-73.958372,,,1,,40.815588,-73.957965,1,rooftop,571,"W 125th St","New York",NY,"New York County",10027,US,"City of New York"
