,Unnamed: 0,ZIPCODE,Total Annual Payroll,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Whites Alone,Non Whites
0,0.0,10001,8717306,21966,34.7,81671,82166,3375,15.36465447,13943,8023
1,1.0,10002,617348,82191,39.8,33218,26227,23346,28.40456984,25545,56646
2,2.0,10003,6479129,57310,32.3,92540,74189,5916,10.32280579,44470,12840
3,3.0,10004,9308424,2807,33.1,129313,108786,250,8.906305664,2241,566
4,4.0,10005,6325335,6822,28.6,124670,102849,724,10.61272354,5077,1745
5,5.0,10006,2210783,2507,31.3,119274,101271,252,10.05185481,1759,748
6,6.0,10007,2440063,6525,34,216037,157713,144,2.206896552,4576,1949
7,7.0,10009,389801,62810,36.3,59929,43893,12567,20.00796052,37540,25270
8,8.0,10010,8554029,30670,35.1,97955,79491,4204,13.70720574,21820,8850
9,9.0,10011,4502863,52167,39.7,104238,110631,4379,8.394195564,40683,11484
10,10.0,10012,2186536,26145,34.1,86594,72914,2552,9.760948556,19691,6454
11,11.0,10013,6896775,26065,36.4,83725,90699,3223,12.36524074,14628,11437
12,12.0,10014,2728947,30597,36.7,108483,106068,1989,6.500637317,26891,3706
13,13.0,10016,8781787,51196,32.8,105324,87986,4689,9.158918666,38341,12855
14,14.0,10017,19801348,16129,37.2,100652,101239,1207,7.483414967,12359,3770
15,15.0,10018,10174317,7021,30.9,104635,75598,972,13.84418174,4125,2896
16,16.0,10019,17952778,38394,38.8,84424,84966,5013,13.05672761,27881,10513
17,17.0,10020,5505989,0,Info not available,Info not available,Info not available,0,Info not available,0,0
18,18.0,10021,4904606,40862,42.7,107907,120077,2763,6.761783564,36163,4699
19,19.0,10022,19709651,29618,45.3,109019,129778,1318,4.449996624,25263,4355
20,20.0,10023,2643590,61315,41.3,103534,99496,5316,8.669982875,50678,10637
21,21.0,10024,796379,59164,41.8,109956,97633,3950,6.676357244,47916,11248
22,22.0,10025,1029719,97390,38.2,68516,55843,16008,16.43700585,64006,33384
23,23.0,10026,84055,37871,33.6,43107,28674,10640,28.09537641,8837,29034
24,24.0,10027,2242627,62617,30.7,37872,27349,16581,26.48002938,17822,44795
25,25.0,10028,1165739,44295,40.3,104638,107679,2538,5.729766339,39452,4843
26,26.0,10029,1757880,77454,33.5,31888,25270,21062,27.1929145,27158,50296
27,27.0,10030,73792,28472,34,31925,23992,7954,27.93621804,4301,24171
28,28.0,10031,119632,59092,33,37655,23322,16139,27.31164963,16260,42832
29,29.0,10032,0,59374,34.5,34568,19005,16743,28.19921178,16931,42443
30,30.0,10033,234589,58710,35.9,41556,23403,14274,24.31272356,24130,34580
31,31.0,10034,116870,41510,36.5,41171,22909,10697,25.76969405,15031,26479
32,32.0,10035,417421,33488,34.2,24533,19541,13486,40.2711419,7069,26419
33,33.0,10036,18574641,23132,38.2,66599,68213,3174,13.72125195,15333,7799
34,34.0,10037,175993,17377,37.6,37341,25535,4327,24.90073085,1459,15918
35,35.0,10038,3624536,20082,32.4,66074,58768,3679,18.31988846,10072,10010
36,36.0,10039,44159,26577,33.3,33595,19675,7664,28.83696429,3743,22834
37,37.0,10040,135195,44825,37,42721,23593,9909,22.10596765,17602,27223
38,38.0,10044,88073,12346,40.2,83066,43053,1218,9.865543496,6845,5501
39,39.0,10069,32932,5118,38.1,170630,123349,229,4.474404064,3828,1290
40,40.0,10103,1015022,0,Info not available,Info not available,Info not available,0,Info not available,0,0
41,41.0,10110,189100,2,Info not available,Info not available,Info not available,1,50,1,1
42,42.0,10111,693531,0,Info not available,Info not available,Info not available,0,Info not available,0,0
43,43.0,10112,950471,0,Info not available,Info not available,Info not available,0,Info not available,0,0
44,44.0,10115,121296,0,Info not available,Info not available,Info not available,0,Info not available,0,0
45,45.0,10119,811810,0,Info not available,Info not available,Info not available,0,Info not available,0,0
46,46.0,10128,728160,60121,38.8,96296,89300,4560,7.58470418,49632,10489
47,47.0,10152,596873,0,Info not available,Info not available,Info not available,0,Info not available,0,0
48,48.0,10153,1391338,0,Info not available,Info not available,Info not available,0,Info not available,0,0
49,49.0,10154,1110751,0,Info not available,Info not available,Info not available,0,Info not available,0,0
50,50.0,10162,5922,1327,39.7,168667,106304,0,0,1213,114
51,51.0,10165,325479,0,Info not available,Info not available,Info not available,0,Info not available,0,0
52,52.0,10167,1208179,0,Info not available,Info not available,Info not available,0,Info not available,0,0
53,53.0,10168,300319,0,Info not available,Info not available,Info not available,0,Info not available,0,0
54,54.0,10169,499416,0,Info not available,Info not available,Info not available,0,Info not available,0,0
55,55.0,10170,507039,0,Info not available,Info not available,Info not available,0,Info not available,0,0
56,56.0,10171,803349,0,Info not available,Info not available,Info not available,0,Info not available,0,0
57,57.0,10172,1133770,0,Info not available,Info not available,Info not available,0,Info not available,0,0
